Call  Failure,Complains,Subscription_Length,Charge  Amount,Seconds_of_Use,Frequency_of_Use,Frequency_of_SMS,Distinct_Called_Numbers,Status,Age,Customer_Value,Churn,AHT,FCR,Sentiment_Score,Transfer_Count,SLA_Compliance,Callback_Count,Usage_per_Sub_Day,SLA_Target,Service_Gap,Complexity_Score,Tariff_1,Tariff_2,Age_Group_Numeric
8,0,38,0,4370,71,5,17,1,30,197.64,0,172,0,4,3,0.74,1,115.0,0.95,0.20999999999999996,1.8,True,False,35
0,0,39,0,318,5,7,4,2,25,46.035,0,343,1,2,0,0.89,2,8.153846153846153,0.95,0.05999999999999994,0.6,True,False,25
10,0,37,0,2453,60,359,24,1,30,1536.52,0,313,1,4,3,0.93,1,66.29729729729729,0.95,0.019999999999999907,1.8,True,False,35
10,0,38,0,4198,66,1,35,1,15,240.02,0,259,1,5,1,0.99,0,110.47368421052632,0.95,-0.040000000000000036,0.5,True,False,18
3,0,38,0,2393,58,2,33,1,15,145.805,0,258,1,2,3,0.98,2,62.973684210526315,0.95,-0.030000000000000027,2.1,True,False,18
11,0,38,1,3775,82,32,28,1,30,282.28,0,364,1,2,2,0.78,2,99.34210526315789,0.95,0.16999999999999993,1.6,True,False,35
4,0,38,0,2360,39,285,18,1,30,1235.96,0,171,1,1,2,0.71,1,62.10526315789474,0.95,0.24,1.3,True,False,35
13,0,37,2,9115,121,144,43,1,30,945.44,0,324,1,4,0,0.8,1,246.35135135135135,0.95,0.1499999999999999,0.3,True,False,35
7,0,38,0,13773,169,0,44,1,30,557.68,0,200,0,4,1,0.91,0,362.44736842105266,0.95,0.039999999999999925,0.5,True,False,35
7,0,38,1,4515,83,2,25,1,30,191.92,0,173,1,3,2,0.72,2,118.8157894736842,0.95,0.22999999999999998,1.6,True,False,35
6,0,38,0,5918,95,7,12,1,30,268.52,0,281,1,1,3,0.81,0,155.73684210526315,0.95,0.1399999999999999,1.5,True,False,35
9,0,38,0,2238,54,8,17,2,30,123.68,0,393,1,2,0,0.79,1,58.89473684210526,0.95,0.15999999999999992,0.3,True,False,35
25,0,38,3,15140,225,54,32,1,30,830.6,0,333,1,3,0,0.77,1,398.42105263157896,0.95,0.17999999999999994,0.3,True,False,35
4,0,38,1,3095,27,483,8,1,30,2056.88,0,340,0,5,2,0.91,0,81.44736842105263,0.95,0.039999999999999925,1.0,True,False,35
9,0,37,0,15485,182,150,30,1,25,1380.015,0,329,0,1,1,0.9,1,418.5135135135135,0.95,0.04999999999999993,0.8,True,False,25
3,0,37,1,6500,86,186,26,1,30,1007.44,0,346,0,2,3,0.86,2,175.67567567567568,0.95,0.08999999999999997,2.1,True,False,35
0,0,37,0,875,14,0,11,2,25,40.005,1,278,0,4,0,0.97,2,23.64864864864865,0.95,-0.020000000000000018,0.6,True,False,25
